shape_label,projection,M,K,N,fp16_kernel_mean_us,fp8_scaled_kernel_mean_us,fp16_effective_matmul_tflops,fp8_scaled_effective_matmul_tflops,fp8_over_fp16_speedup
kv,K/V,1,4096,1024,62.58845,30.781150000000004,0.13402805150151506,0.272524190941534,2.0333369610946956
kv,K/V,2,4096,1024,64.613,30.6801,0.259656973054958,0.5468435891669192,2.1060231224800443
kv,K/V,4,4096,1024,65.7791,31.902049999999996,0.5101078001979352,1.0517954802277598,2.0619082472756456
kv,K/V,8,4096,1024,66.0562,34.422399999999996,1.015935884898011,1.949569582597379,1.9189887979920055
kv,K/V,16,4096,1024,71.11775,38.07015,1.8872606065293123,3.5255371465570793,1.8680711791259033
kv,K/V,32,4096,1024,74.75715,45.9613,3.590766314660203,5.840467001586117,1.6265238363579793
kv,K/V,64,4096,1024,66.1117,47.3077,8.120664148705902,11.348488977481468,1.3974828621979087
kv,K/V,128,4096,1024,69.64175,54.4336,15.418076426856016,19.72571764498398,1.2793890170776874
kv,K/V,256,4096,1024,82.7878,68.83824999999999,25.93961487079014,31.196081364648293,1.2026424262673734
kv,K/V,512,4096,1024,105.46045,108.13654999999999,40.72585785476925,39.717998179154044,0.9752525857353505
kv,K/V,1024,4096,1024,174.094,240.45465,49.3407848173975,35.72372001123705,0.7240201010876687
kv,K/V,2048,4096,1024,301.44915000000003,464.9862,56.99093589748054,36.94705172755665,0.6482969817168769
qo,Q/O,1,4096,4096,230.32840000000002,112.04749999999999,0.1456808278961691,0.2994661371293425,2.055631763314666
qo,Q/O,2,4096,4096,232.0547,113.62425,0.2891941598252481,0.5906209633946978,2.042299069080764
qo,Q/O,4,4096,4096,234.66235,116.3546,0.5719610666133702,1.1535231782843136,2.0167861863647847
qo,Q/O,8,4096,4096,260.03795,124.11985,1.0322933864076378,2.1627117338604585,2.0950553034023165
qo,Q/O,16,4096,4096,249.13060000000002,139.2872,2.1549777987930825,3.8544167159652862,1.7886108702019998
qo,Q/O,32,4096,4096,246.39065,131.3094,4.357883807685073,8.177189325364367,1.876412884378422
qo,Q/O,64,4096,4096,224.29645,140.601,9.57430957110556,15.27360152488247,1.5952692370609027
qo,Q/O,128,4096,4096,253.805,189.65355,16.92231160142629,22.646384926620144,1.3382559936262728
qo,Q/O,256,4096,4096,278.95915,272.5204,30.792804580885768,31.52033606291492,1.023626671617978
qo,Q/O,512,4096,4096,349.6402,414.4615,49.13585218175713,41.45106164022472,0.8436011547514063
qo,Q/O,1024,4096,4096,604.8111,782.9799,56.810694062989256,43.883295558417274,0.7724477984683897
qo,Q/O,2048,4096,4096,1143.7534,1667.5031,60.08242400503465,41.21100388718917,0.6859078103063198
mlp_up,gate/up,1,4096,12800,828.9262000000001,434.55604999999997,0.12649811285974552,0.24129821688134362,1.9075242422697836
mlp_up,gate/up,2,4096,12800,831.0072,434.4943,0.2523626750767021,0.48266502000141315,1.9125848141160886
mlp_up,gate/up,4,4096,12800,826.8656500000001,463.73105,0.5072533851176427,0.9044690882786477,1.7830715670214452
mlp_up,gate/up,8,4096,12800,829.60995,492.3642,1.011150842633939,1.7037404425423295,1.6849518100625513
mlp_up,gate/up,16,4096,12800,828.37925,509.9246,2.0253061626060767,3.290136620198359,1.6245132123455115
mlp_up,gate/up,32,4096,12800,900.51765,538.1895499999999,3.726127078131117,6.234686645253518,1.6732351083368306
mlp_up,gate/up,64,4096,12800,677.767,511.56155,9.90146525280812,13.118433940158326,1.324898245382203
mlp_up,gate/up,128,4096,12800,799.8752999999999,705.16855,16.77983155624383,19.033425129353827,1.1343037065393797
mlp_up,gate/up,256,4096,12800,857.0164500000001,1096.6743000000001,31.32208909175547,24.477226830244852,0.781468527164355
mlp_up,gate/up,512,4096,12800,1091.6943999999999,1821.6871999999998,49.177765499209315,29.471081094493066,0.5992765388042469
mlp_up,gate/up,1024,4096,12800,1849.6729500000001,1189.208,58.050360957054586,90.29049787757903,1.5553821955452705
mlp_up,gate/up,2048,4096,12800,3282.6029000000003,2400.51595,65.4201471643128,89.4592534575744,1.3674572335168198
mlp_down,down,1,12800,4096,721.0901,368.75695,0.1454153926118248,0.2843542338659651,1.9554617207892624
mlp_down,down,2,12800,4096,729.0952500000001,371.0434,0.2876375891901641,0.5652039626631278,1.9649864409392541
mlp_down,down,4,12800,4096,774.9289,371.22040000000004,0.5412501714673437,1.1298689403922844,2.087517011457344
mlp_down,down,8,12800,4096,723.62025,413.1731,1.1592555625689027,2.0302889999373144,1.7513730927787896
mlp_down,down,16,12800,4096,748.6313,454.26665,2.2410519036540415,3.6932528505009117,1.6479996935720462
mlp_down,down,32,12800,4096,769.88455,425.12605,4.358371914334429,7.8928195531654675,1.8109559505939472
mlp_down,down,64,12800,4096,726.20535,423.57905,9.241031341892482,15.84329158866568,1.7144505848436082
mlp_down,down,128,12800,4096,704.85705,460.9142,19.041836639074546,29.119894331743303,1.5292586993414392
mlp_down,down,256,12800,4096,762.57875,573.3850500000001,35.20101445260571,46.81591471559992,1.3299592481527027
mlp_down,down,512,12800,4096,1003.4531999999999,837.79465,53.50233693011294,64.08144430141682,1.1977316875919415
mlp_down,down,1024,12800,4096,1765.9124500000003,1475.81295,60.80379715313745,72.75595623415555,1.1965692874561105
mlp_down,down,2048,12800,4096,3268.17465,2956.0702,65.70896227960155,72.64657138385955,1.1055808654341157
